775.732,429.672,850.268,698,-477.681,1438.12,13462.4,1,18.2208
870.251,429.606,921.749,615,158.349,983.043,15998.9,1,18.1402
441.173,429.647,506.827,666,-3214.59,1300.34,14556.9,1,18.1094
538.394,429.634,599.606,650,-2667.05,1272.51,15791.8,1,17.9154
656.394,429.634,717.606,650,-1732.95,1337.92,16603.5,1,17.8973
377.614,429.621,434.386,634,-3807.95,1060.18,14759,1,17.063
590.59,429.645,655.41,663,-2225.34,1400.19,15967.8,1,13.6116
480.042,429.705,565.958,739,-2804.76,1868.13,14454.6,1,11.8483
79.7409,429.534,106.259,525,-14799.2,422.013,34485.7,0,11.744
932.524,429.576,973.476,577,896.323,887.724,21828.5,1,10.691
