837.051,429.567,874.949,566,-288.899,836.218,24130.5,0,18.8224
773.953,429.66,844.047,682,-515.763,1342.85,13691.8,1,18.2362
874.112,429.607,925.888,616,192.404,986.997,15921.5,1,18.2232
456.202,429.653,523.798,673,-3061.54,1344.77,14435.7,1,18.2195
551.394,429.634,612.606,650,-2513.84,1252.11,15538.6,1,18.1224
384.949,429.631,445.051,646,-3650.3,1130.68,14423.1,1,17.9031
657.394,429.634,718.606,650,-1709.23,1326.55,16462.4,1,17.5685
603.704,429.667,676.296,691,-2157.43,1708.39,16586.7,1,13.5187
81.1858,429.537,108.814,529,-14168.3,477.444,33099.9,0,12.0747
929.969,429.579,972.031,581,868.999,931.758,21742,1,11.2483
